alias,market,season,opp_alias,opp_market,win,wins,losses,win_pct,off_ptsperposs,def_ptsperposs,net_ptsperposs,possperg,adj_off_ptsperposs,adj_def_ptsperposs,adj_net_ptsperposs,adj_possperg,off_sd,def_sd,opp_adj_net_ptsperposs,seed,gopp_wins,gopp_losses,gopp_win_pct,gopp_off_ptsperposs,gopp_def_ptsperposs,gopp_net_ptsperposs,gopp_possperg,gopp_adj_off_ptsperposs,gopp_adj_def_ptsperposs,gopp_adj_net_ptsperposs,gopp_adj_possperg,gopp_off_sd,gopp_def_sd,gopp_opp_adj_net_ptsperposs,gopp_seed
KU,Kansas,2017,HALL,Seton Hall,True,27,7,0.794117647,1.166442162,1.007350484,0.15909167800000001,69.87058824,1.225408861,0.985519803,0.23988905800000002,69.70601055,0.15086714,0.138048961,0.098050537,1.0,21,11,0.65625,1.110427831,1.0271453590000001,0.083282472,71.14375,1.146203208,1.0088111579999999,0.13739205,71.38185014,0.132593703,0.101944967,0.084612786,8.0
NCST,North Carolina State,2017,HALL,Seton Hall,False,21,11,0.65625,1.121515491,1.035096864,0.08641862800000001,72.41875,1.147394343,1.041398841,0.10599550199999999,74.17744132,0.136350496,0.105158258,0.064664075,9.0,21,11,0.65625,1.110427831,1.0271453590000001,0.083282472,71.14375,1.146203208,1.0088111579999999,0.13739205,71.38185014,0.132593703,0.101944967,0.084612786,8.0
VILL,Villanova,2017,TTU,Texas Tech,True,30,4,0.882352941,1.237665161,0.9880288620000001,0.24963629899999998,70.34117647,1.349360149,0.9460842279999999,0.40327592100000004,69.9468902,0.147316656,0.126021797,0.07560431299999999,1.0,24,9,0.727272727,1.110663804,0.937966787,0.17269701699999998,67.74545455,1.139108498,0.8886011770000001,0.250507321,66.20637991,0.122751116,0.13490427900000002,0.065307186,3.0
BUFF,Buffalo,2017,ARIZ,Arizona,True,26,8,0.764705882,1.131298069,1.0179995259999999,0.113298543,74.95294118,1.1804530579999999,1.002980918,0.17747214,77.26199656,0.14165785,0.11058348,0.024691337999999997,13.0,27,7,0.794117647,1.17793198,1.02006407,0.15786791,68.66470588,1.243891385,1.002827586,0.241063799,67.92842292,0.145205581,0.125815969,0.046084880999999994,4.0
GONZ,Gonzaga,2017,FSU,Florida State,False,30,4,0.882352941,1.198081735,0.953216374,0.244865361,70.52941176,1.268832078,0.9078391579999999,0.36099292,71.49548471,0.133441325,0.117088615,0.01774627,4.0,20,11,0.64516129,1.120986999,1.0100612420000001,0.11092575699999999,72.94838709999999,1.160295072,0.9970118929999999,0.163283179,74.92229604,0.123069518,0.166304469,0.05177747,9.0
MICH,Michigan,2017,FSU,Florida State,True,28,7,0.8,1.141080655,0.957630038,0.18345061699999998,65.25142857,1.189623102,0.9070021309999999,0.282620971,63.28863568,0.15542872900000002,0.12710286699999998,0.069230475,3.0,20,11,0.64516129,1.120986999,1.0100612420000001,0.11092575699999999,72.94838709999999,1.160295072,0.9970118929999999,0.163283179,74.92229604,0.123069518,0.166304469,0.05177747,9.0
XAV,Xavier,2017,FSU,Florida State,False,28,5,0.848484848,1.1668205090000001,1.024935368,0.14188514,72.22424242,1.2285234520000001,1.010518622,0.21800483,72.89512332,0.124392535,0.139981845,0.08651928199999999,1.0,20,11,0.64516129,1.120986999,1.0100612420000001,0.11092575699999999,72.94838709999999,1.160295072,0.9970118929999999,0.163283179,74.92229604,0.123069518,0.166304469,0.05177747,9.0
MIZZ,Missouri,2017,FSU,Florida State,False,20,12,0.625,1.0948734709999999,0.993616051,0.10125742,66.93125,1.122532602,0.969807077,0.152725525,65.39609963,0.15260668800000002,0.144460394,0.068516335,8.0,20,11,0.64516129,1.120986999,1.0100612420000001,0.11092575699999999,72.94838709999999,1.160295072,0.9970118929999999,0.163283179,74.92229604,0.123069518,0.166304469,0.05177747,9.0
SDST,South Dakota State,2017,OSU,Ohio State,False,28,6,0.8235294120000001,1.175631622,1.013279678,0.162351944,72.17647059,1.2282326540000001,1.000889443,0.22734321100000002,72.53386355,0.16002137,0.106889044,-0.016095529,12.0,24,8,0.75,1.1182815529999999,0.9795281370000001,0.138753415,67.79375,1.153032028,0.950204376,0.202827652,67.12862547,0.131794451,0.136066317,0.104582248,5.0
VILL,Villanova,2017,RAD,Radford,True,30,4,0.882352941,1.237665161,0.9880288620000001,0.24963629899999998,70.34117647,1.349360149,0.9460842279999999,0.40327592100000004,69.9468902,0.147316656,0.126021797,0.07560431299999999,1.0,22,12,0.647058824,1.057736721,1.003669725,0.054066996,63.67647059,1.074843103,0.979500597,0.095342506,61.47633839,0.130151887,0.147915766,-0.0018309320000000002,16.0
