alias,market,season,conf_alias,wins,losses,win_pct,off_ptsperposs,def_ptsperposs,net_ptsperposs,possperg,adj_off_ptsperposs,adj_def_ptsperposs,adj_net_ptsperposs,adj_possperg,off_sd,def_sd,opp_adj_net_ptsperposs,seed,tournament_wins
JVST,Jacksonville State,2016,OVC,20,14,0.588235294,1.071105891,1.033893734,0.037212157,65.10588235,1.101586622,1.016802179,0.084784443,62.62738413,0.16324464,0.143803036,-0.02412689,15,0
NMSU,New Mexico State,2016,WAC,28,5,0.848484848,1.148589065,0.957373371,0.191215694,68.72727273,1.187806445,0.942839536,0.244966909,67.26237599,0.139507325,0.135636693,-0.060651126,14,0
NKU,Northern Kentucky,2016,HORIZON,24,10,0.705882353,1.086628053,1.024976234,0.06165182,70.07647059,1.106922213,1.017382786,0.089539427,68.83313024,0.111156574,0.129854371,-0.011811883,15,0
IONA,Iona,2016,MAAC,22,12,0.647058824,1.108679796,1.047111972,0.061567824,72.58235294,1.148196278,1.043420818,0.104775461,73.39867384,0.139047627,0.130981473,0.001442337,14,0
SDST,South Dakota State,2016,SUMMIT,18,16,0.529411765,1.117657031,1.103329699,0.014327333,69.39411765,1.155095126,1.12198007,0.033115056,68.50468631,0.155159333,0.128736264,0.011946484,16,0
SMU,SMU,2016,AAC,30,4,0.882352941,1.180581439,0.939058172,0.241523267,63.12941176,1.259497233,0.903474848,0.356022385,60.75574436,0.152900819,0.131808482,0.042087196,6,0
FGCU,Florida Gulf Coast,2016,AS,26,7,0.787878788,1.146744837,0.996400667,0.15034417,69.26060606,1.171732337,0.986735474,0.184996863,67.92521763,0.158002925,0.117062979,-0.058813162,14,0
VILL,Villanova,2015,BIGEAST,29,5,0.852941176,1.145495929,0.936851211,0.208644718,67.19411765,1.201003167,0.890144147,0.31085902,65.86795018,0.149588351,0.133591923,0.061585458,2,6
UNC,North Carolina,2015,ACC,28,6,0.823529412,1.163477537,0.983286213,0.180191324,70.70588235,1.218954253,0.949298867,0.269655386,72.32216902,0.114038854,0.097580445,0.083202554,1,5
SYR,Syracuse,2015,ACC,19,13,0.59375,1.069083643,0.991046183,0.07803746,65.68125,1.086190652,0.952095833,0.134094818,64.31018925,0.140003918,0.127092377,0.078414856,10,4
OKLA,Oklahoma,2015,BIG12,25,7,0.78125,1.124169871,0.97314567,0.151024201,71.525,1.17658242,0.928055539,0.248526881,72.56931805,0.10185122,0.108185272,0.092006477,2,4
UVA,Virginia,2015,ACC,26,7,0.787878788,1.154649428,0.981066268,0.17358316,60.93939394,1.218740597,0.938693956,0.28004664,57.5530725,0.121317943,0.117753185,0.114014687,1,3
KU,Kansas,2015,BIG12,30,4,0.882352941,1.164245529,0.969847553,0.194397975,70.05294118,1.230318214,0.930314736,0.300003478,70.60162186,0.132734587,0.108068671,0.083953256,1,3
ORE,Oregon,2015,PAC12,28,6,0.823529412,1.134055518,0.982770157,0.151285361,69.50588235,1.187639239,0.958580358,0.22905888,68.89466461,0.114348711,0.118477587,0.068895117,1,3
ND,Notre Dame,2015,ACC,21,11,0.65625,1.160551777,1.0660689,0.094482877,65.24375,1.221829409,1.062371802,0.159457606,63.67946313,0.153740077,0.137741408,0.082593282,6,3
MD,Maryland,2015,BIG10,25,8,0.757575758,1.132467064,0.987180645,0.145286419,67.16363636,1.179824431,0.96459194,0.215232492,66.6612034,0.125950318,0.126754772,0.066916268,5,2
WIS,Wisconsin,2015,BIG10,20,12,0.625,1.075331772,0.999226156,0.076105616,64.05,1.101372695,0.971172148,0.130200547,61.6193807,0.14388356,0.122623065,0.100424079,7,2
MIA,Miami (FL),2015,ACC,25,7,0.78125,1.153039832,1.0034732,0.149566632,65.5875,1.2139061,0.969211349,0.244694752,64.37956654,0.139840194,0.141844187,0.096807937,3,2
